SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,sales_date,TransactionNumber
792446,16,204,1,1,0.0,0,2018-01-01,Y83IVFLUIVN9CPFKZ2D2
1765323,8,272,1,1,0.1,0,2018-04-09,71TICA4ACEI3R4WRRP84
5431140,1,336,1,1,0.0,0,2018-03-23,OJQIOFKSY3BI3MXKZ6CS
5848278,1,379,1,1,0.0,0,2018-04-11,QVSBFRNGCIH5G1SYNHLO
5408996,16,919,1,1,0.0,0,2018-04-02,YTTO796ULJ9O6V4P9HAC
4301483,9,1087,1,1,0.0,0,2018-01-04,LV1FJC51ER0TVYJFL461
4489075,16,1112,1,1,0.0,0,2018-04-12,57XYSXJ0R176ZERJR4DH
1237328,9,1310,1,1,0.0,0,2018-04-19,YVCH3OALFBKYUOHDXPP4
2091449,16,1332,1,1,0.2,0,2018-04-14,K8FYDCX0LYCARQ4ZRWW9
1156834,9,1406,1,1,0.0,0,2018-02-19,OAEMIF9U1COMBCE73IW6
2154875,1,1536,1,1,0.1,0,2018-04-24,2DAWAFQNCH7K4488M9X6
2851424,9,1595,1,1,0.1,0,2018-02-06,WGQPUQD3MUYOV00HHMSV
6275983,1,1616,1,1,0.0,0,2018-02-12,80ZY561XX5TU620UOUDS
4975827,9,1665,1,1,0.2,0,2018-04-22,BDSHH06MHSA6UTFBFG0S
1764316,9,1690,1,1,0.0,0,2018-02-22,UR0N42YEDRPA1AJF7TS5
3552959,1,1818,1,1,0.0,0,2018-02-21,L9JWZFSCXRPZIC89VUJO
4325489,17,2018,1,1,0.0,0,2018-05-09,LCQ3ZUMI6LU7HI57PK8H
1455380,17,2218,1,1,0.2,0,2018-04-11,EE2Y00G8GTQIG49NJJDS
4234212,9,2314,1,1,0.0,0,2018-02-22,6J5Y1IH0JLJJPKBJAXS9
5375902,17,2332,1,1,0.2,0,2018-03-03,JZLPHURBHU6KC7KTXA8X
2075288,1,2407,1,1,0.0,0,2018-03-15,CG3UC293R459327XOP0D
6396632,1,2513,1,1,0.0,0,2018-03-24,SMBWJNTMGYRG9S2O2BN5
5649205,17,2612,1,1,0.0,0,2018-02-19,XYF29EBND23N6OSQ6E0O
2320904,17,2634,1,1,0.0,0,2018-02-02,SU9TSSVMSOQT5ANGYAM5
1653427,2,2687,1,1,0.0,0,2018-03-03,YFPJJFH5IHTCXRRE45D0
3741612,2,2967,1,1,0.1,0,2018-01-29,4EAZVJWO4CET8LR2CKXZ
6169539,2,3051,1,1,0.0,0,2018-04-25,YLZVKVGY6JVZIRCJOKRI
5968502,2,3122,1,1,0.0,0,2018-03-19,CONC1SQ1V2H68A2PWDFZ
2820619,10,3617,1,1,0.0,0,2018-03-29,W3FE6063NGA7E5MDKX6K
2802971,10,3641,1,1,0.0,0,2018-02-12,FHG7XY8A0P3GEDSA577U
831005,10,3644,1,1,0.0,0,2018-03-26,R69FLB12V640P3BIU6BX
3679507,2,3756,1,1,0.0,0,2018-01-06,RDWB9N74604DMVX6RZ65
4437358,10,3877,1,1,0.0,0,2018-05-05,RLXOX85T5LKIHRA4P2BV
2803841,2,3886,1,1,0.0,0,2018-01-14,XTL66ELQUTTWWT58JCX6
