SalesID,TransactionNumber,sales_date,ProductID,CustomerID,SalesPersonID,Quantity,Discount,Price,TotalPrice,actual_revenue
2166,QKTRNS5BRRSYA3APXGPQ,2018-04-28,165,74,18,1,0.2,0.0449,0,0.03592
4472003,KXZRFLYMIQD91TOA65JU,2018-02-22,165,2591,11,1,0.2,0.0449,0,0.03592
2874778,EA1P1E9EVDG817B5XYSU,2018-02-22,165,3498,12,1,0.2,0.0449,0,0.03592
1680363,BBKBW2SBOTUNRC8D0VRU,2018-03-07,165,1270,18,1,0.2,0.0449,0,0.03592
4214510,L4ZV9ASTH7YGWH6RVBFJ,2018-05-03,165,1653,3,1,0.1,0.0449,0,0.04041
1807441,E1OQ23MD8QXGAUF9A42O,2018-05-06,165,2762,11,1,0.1,0.0449,0,0.04041
3155680,DN1Z4FT8NLTQ32FV8OPY,2018-04-03,165,3371,12,1,0.0,0.0449,0,0.0449
5217694,3MQL2Q0ZFGZU4QB2L2K8,2018-05-05,165,421,18,1,0.0,0.0449,0,0.0449
3988324,X0RDZMVCY2FTGOWCP7L2,2018-01-20,165,1910,19,1,0.0,0.0449,0,0.0449
3173666,A1I4RUX12LO1J4MQXLHQ,2018-03-03,165,1900,11,1,0.0,0.0449,0,0.0449
58139,31GFKFUPS3U39L828EQG,2018-01-05,165,2849,19,1,0.0,0.0449,0,0.0449
424527,JN4IK5O5WJ502N59U2EN,2018-05-01,165,2893,4,1,0.0,0.0449,0,0.0449
5922592,JIK5N2JYREL54F32J5WC,2018-01-26,165,1563,3,1,0.0,0.0449,0,0.0449
6381722,YH9JQ8XHUBF96KISOJ17,2018-03-08,165,1512,3,1,0.0,0.0449,0,0.0449
5958851,UFH57MEUISS8NTZHLXD3,2018-03-06,165,2454,19,1,0.0,0.0449,0,0.0449
430009,1ARJTKMYLM1SEY6OH08O,2018-02-19,165,2234,11,1,0.0,0.0449,0,0.0449
4955953,PZC0ZW8Z7NP1A0LLP5X3,2018-02-27,165,2398,11,1,0.0,0.0449,0,0.0449
5013889,BSY3C9QGIYYY8KEJ6MEE,2018-03-10,165,3939,19,1,0.0,0.0449,0,0.0449
5957649,Q62S1OOHGT7F8RJVDMIN,2018-03-19,165,2508,11,1,0.0,0.0449,0,0.0449
6068164,ONS1HHG3738JC184KMO1,2018-02-28,165,543,3,1,0.0,0.0449,0,0.0449
5704724,3XN6IT032XG4TMMVT6O1,2018-02-20,165,3242,4,1,0.0,0.0449,0,0.0449
6413057,4D1G37A9YSUT91NRDGYJ,2018-01-16,165,3050,11,1,0.0,0.0449,0,0.0449
1572305,SUQB200WI6KHRUYK1BDZ,2018-02-21,165,2817,19,1,0.0,0.0449,0,0.0449
1030704,BLDDHQ86WSK71SDGQ3A7,2018-04-22,165,1085,18,1,0.0,0.0449,0,0.0449
6490521,CCOSK97086KO0T2AFTSQ,2018-03-11,165,2387,4,1,0.0,0.0449,0,0.0449
3220959,K8Z9R5TWQZLM3XWBDNWZ,2018-03-04,165,215,10,1,0.0,0.0449,0,0.0449
5276566,YD52G90154NT9UW4JAAJ,2018-02-28,165,2066,3,1,0.0,0.0449,0,0.0449
5533039,PLPXINYKF0ELRO5JMQ83,2018-02-13,165,1950,3,1,0.0,0.0449,0,0.0449
2926417,DMSTE1HC8EN7AKRVB7T4,2018-04-12,165,1166,18,1,0.0,0.0449,0,0.0449
5983395,KVF3TPJ8SP18V8D4YF61,2018-01-07,165,3311,12,1,0.0,0.0449,0,0.0449
4604745,3B5E4X1B6YM9CJTXT2OD,2018-01-08,165,1711,3,1,0.0,0.0449,0,0.0449
4484343,5E6RVG3KYPZHCWCRZJGN,2018-03-17,165,2557,4,1,0.0,0.0449,0,0.0449
3256458,KN8X42PSO1USZPQ7RU0C,2018-03-23,165,1281,3,1,0.0,0.0449,0,0.0449
1450572,YCCY9CXKSGDN8W170TL5,2018-01-09,165,855,11,1,0.0,0.0449,0,0.0449
2926249,SNQ7QTDZTM42ORMDFZ0B,2018-03-01,165,3272,19,1,0.0,0.0449,0,0.0449
2796259,HOKE9ULLPDZNFHGJRLYV,2018-05-08,165,6386,5,2,0.2,0.0449,0,0.07184
3605358,UVRK5X8YONOKQANPM56D,2018-03-31,165,6724,21,2,0.2,0.0449,0,0.07184
3973986,D8PRANGUVCGQML3A3R4S,2018-03-27,165,6213,20,2,0.2,0.0449,0,0.07184
3359368,8YBRW4LVNXDGZO32UUYA,2018-04-29,165,5616,20,2,0.1,0.0449,0,0.08082
268640,RQBK0K1G1FGVSWOW7UZS,2018-03-22,165,4573,12,2,0.1,0.0449,0,0.08082
1879117,ZPNV3GWSDMF6G3WT2FFI,2018-04-24,165,4738,20,2,0.1,0.0449,0,0.08082
6440233,OA5UR61QSQFM9TNNEATR,2018-01-04,165,4513,4,2,0.1,0.0449,0,0.08082
3523042,DA37NRM5L513DNYTHDTX,2018-01-11,165,6743,21,2,0.1,0.0449,0,0.08082
1756217,MFGDDO72168ZBAIIQ8SP,2018-02-14,165,7824,21,2,0.0,0.0449,0,0.0898
4393757,OPYACQJ7VAQ43R2EOCP1,2018-04-02,165,7706,21,2,0.0,0.0449,0,0.0898
3932159,23IJCTB5VY0W8NA4XTVE,2018-02-23,165,6891,13,2,0.0,0.0449,0,0.0898
1129330,AUHHEEAS6XJQPECFEEJ7,2018-05-06,165,7232,13,2,0.0,0.0449,0,0.0898
59922,5ZG9ZPQL8391FON8P6TU,2018-02-21,165,7679,21,2,0.0,0.0449,0,0.0898
635389,9GRMAQZM6393SJ2JXHL8,2018-04-18,165,6778,13,2,0.0,0.0449,0,0.0898
4529545,PFRY6DIM9BEKWB6PMAA5,2018-04-01,165,5621,12,2,0.0,0.0449,0,0.0898
5221554,7M4N3113W6X2NA45Y907,2018-05-09,165,6216,20,2,0.0,0.0449,0,0.0898
6434258,YW9Y9UVWKM0A1SX6L1NJ,2018-05-03,165,5970,13,2,0.0,0.0449,0,0.0898
1559644,RHWEC54NDD39EGKL8RTW,2018-01-04,165,4923,4,2,0.0,0.0449,0,0.0898
2133345,QZD6RL8DJPVDZ4JDOBO3,2018-05-03,165,7307,5,2,0.0,0.0449,0,0.0898
4549644,TGV4172ZHI8KYGGTBTQ7,2018-04-26,165,5774,12,2,0.0,0.0449,0,0.0898
1711747,ZS9OE62T40H4B72UTPE4,2018-04-09,165,6356,20,2,0.0,0.0449,0,0.0898
719468,U4HL5HLEKHNMOBZY79FJ,2018-04-05,165,6533,20,2,0.0,0.0449,0,0.0898
1039561,IGQ1VXOAE52KXEGU9E5Z,2018-01-31,165,6881,21,2,0.0,0.0449,0,0.0898
6058848,NMCJ468N42QD1IM4DREO,2018-05-08,165,5679,5,2,0.0,0.0449,0,0.0898
2332918,1VDOO03FNVBYENGDBHIO,2018-01-05,165,6988,21,2,0.0,0.0449,0,0.0898
4241370,LM0VZ4MDDBREWFBMTA42,2018-05-07,165,4933,20,2,0.0,0.0449,0,0.0898
5064590,A2R9IQVOGR6XFCVXGELG,2018-03-26,165,6290,5,2,0.0,0.0449,0,0.0898
5714062,VPJT15YBX597PWJDLZWN,2018-04-09,165,7260,5,2,0.0,0.0449,0,0.0898
6167297,YL9QYPDGNL5TGFZ76Z2K,2018-02-04,165,6441,20,2,0.0,0.0449,0,0.0898
5151072,UTVEE9PYDQDDLJU74TIA,2018-02-12,165,4488,4,2,0.0,0.0449,0,0.0898
3959771,NILHEFWNUGIWF7SZNM2U,2018-01-19,165,4249,4,2,0.0,0.0449,0,0.0898
126675,QESHZZGAPHBFGPC3SQJF,2018-04-28,165,7245,21,2,0.0,0.0449,0,0.0898
647670,S810QL78MM5O0G11SRAO,2018-05-01,165,5976,20,2,0.0,0.0449,0,0.0898
2907650,5ZR0XSV6UOMQGQP9JSA0,2018-03-08,165,6747,21,2,0.0,0.0449,0,0.0898
1069928,JDBGZDLQN1APADY9IDVK,2018-03-05,165,5432,12,2,0.0,0.0449,0,0.0898
5282152,XM77C56SYYZ67JBBQH3X,2018-03-18,165,8268,6,3,0.2,0.0449,0,0.10776
6273692,CH7MYMXCX4VQYY6W0CCY,2018-03-13,165,10991,22,3,0.1,0.0449,0,0.12123
4212484,064GHG4WXSQ94JUWEMCX,2018-02-10,165,10654,7,3,0.1,0.0449,0,0.12123
408372,N2R1KX7URX1TT1Y5XB26,2018-02-15,165,10612,14,3,0.1,0.0449,0,0.12123
3218631,DHDH86FQOH3IFABKCXBS,2018-01-30,165,11603,7,3,0.1,0.0449,0,0.12123
827925,FY6FYCU143PCMRJB67L5,2018-01-20,165,9111,6,3,0.1,0.0449,0,0.12123
255824,CQSZX1PGTRFSGXQV9KTO,2018-01-02,165,8307,21,3,0.1,0.0449,0,0.12123
4098803,FD7PG9JC5MJLIQJMXC48,2018-04-01,165,10895,22,3,0.1,0.0449,0,0.12123
734554,MQMUT85JNNGSB0ZRR0RY,2018-02-11,165,10711,14,3,0.0,0.0449,0,0.1347
4082959,IR319MR2J79TXO3M5E4Z,2018-03-02,165,8255,21,3,0.0,0.0449,0,0.1347
4207965,FBTXK9AMM8V6J4V8K1PX,2018-02-03,165,10112,14,3,0.0,0.0449,0,0.1347
5900030,6GBY64PDK22RBPGP4T5Z,2018-04-05,165,10994,15,3,0.0,0.0449,0,0.1347
5013330,4TS3FDBQCHI4P7FUHRFH,2018-01-13,165,11559,22,3,0.0,0.0449,0,0.1347
1609022,M03JQP85OCMSPQI44D80,2018-03-27,165,10943,22,3,0.0,0.0449,0,0.1347
3001245,0XCFNBZO5VN4PNUTX1N6,2018-02-05,165,8825,14,3,0.0,0.0449,0,0.1347
6729861,9YMJ8R67QI242DP9ADEH,2018-01-29,165,8111,6,3,0.0,0.0449,0,0.1347
6171620,2UROJ6I7R6W23WZEHT54,2018-03-09,165,8972,14,3,0.0,0.0449,0,0.1347
806656,4TNWEXQ5VVCSP4UBBLZF,2018-02-11,165,11060,15,3,0.0,0.0449,0,0.1347
2739681,DJ43U15I0RXN2R4MHP66,2018-01-17,165,7979,13,3,0.0,0.0449,0,0.1347
5023344,A7ILADSLLKQXS1T9V8RE,2018-04-12,165,9284,14,3,0.0,0.0449,0,0.1347
4735018,0WYA9C4YROCMLYDCW12Q,2018-05-09,165,9691,22,3,0.0,0.0449,0,0.1347
4100546,HAOGAUA9M0Q460UKCZ3N,2018-01-16,165,11704,15,3,0.0,0.0449,0,0.1347
2378818,5IIVK832WNS9RBHHMEUL,2018-03-07,165,9581,6,3,0.0,0.0449,0,0.1347
3348880,P84OY90RG6O1C7ERHU9M,2018-03-12,165,8767,21,3,0.0,0.0449,0,0.1347
