SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
4443214,16,56,1,1,0.0,0,2018-03-19 08:40:41.36 UTC,ZVZFZ16R5Z797T9819SS
3157500,1,151,1,1,0.1,0,2018-01-25 14:40:05.11 UTC,HNRTJH8AKNOYI4ZHBNPJ
5620027,1,434,1,1,0.0,0,2018-03-14 16:47:01.01 UTC,TV0JN49XI481EBPBX0BJ
1858205,16,484,1,1,0.0,0,2018-05-07 11:51:29.87 UTC,VYDXKA175KIHCR7PTBLV
964384,1,547,1,1,0.2,0,2018-01-28 07:05:25.95 UTC,EKGF5FQ4HKD72LQC28QR
2651691,16,672,1,1,0.0,0,2018-01-10 10:02:09.35 UTC,L6BWLVR7IFBOJ687SJLP
4727622,16,796,1,1,0.0,0,2018-01-17 16:23:35.78 UTC,IMV5AF7J53JQ56KGLM5A
6170292,1,996,1,1,0.0,0,2018-03-02 12:24:23.51 UTC,V7K85Z01X5YND905B3Z3
5014645,1,1090,1,1,0.0,0,2018-04-29 16:07:04 UTC,5AWW37RGK32HX0G1NH2B
5867150,9,1188,1,1,0.0,0,2018-02-06 20:04:44.63 UTC,4BX11VPFHLZAV2KNS79D
4169239,9,1199,1,1,0.0,0,,UNTDUJFK85EAQ560890F
1874651,16,1279,1,1,0.0,0,2018-04-04 10:42:11.56 UTC,CK2ZIPN1IYVCBENKIULI
1253332,16,1477,1,1,0.0,0,2018-04-10 13:13:56.1 UTC,A2J50B5PM69JIKU14FTS
7254,1,1644,1,1,0.2,0,2018-04-06 14:24:38.93 UTC,JIH1KS051L1KRU8EDNJB
1886626,1,1813,1,1,0.0,0,2018-01-23 18:24:39.68 UTC,GQX98WUQ4THCLETOT4ZQ
14188,1,1858,1,1,0.2,0,2018-04-08 01:27:16.32 UTC,4MA68YP04MKXQ3ZOKKQQ
4348277,17,1973,1,1,0.0,0,2018-02-18 09:06:17.63 UTC,YKVQIC5GGXF3EFY9G2C0
3404549,17,2021,1,1,0.0,0,2018-01-20 01:04:00.07 UTC,WL3A67FLSB5UMZC2EWMJ
